sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
lan_parasitic_gap,168,27.44709137,27.29243591,8.04284163,7.99503937,-19.40424974,-19.29739654,-0.10685320,False,False
lan_parasitic_gap,169,22.40229988,22.67675963,20.30400237,21.54400598,-2.09829751,-1.13275365,-0.96554386,False,False
lan_parasitic_gap,170,22.40229988,22.67675963,6.85437398,7.40369599,-15.54792590,-15.27306364,-0.27486226,False,False
lan_parasitic_gap,171,22.40229988,22.67675963,3.37954054,4.05311899,-19.02275934,-18.62364064,-0.39911870,False,False
lan_parasitic_gap,172,22.40229988,22.93852077,20.30400237,18.99114267,-2.09829751,-3.94737810,1.84908059,False,True
lan_parasitic_gap,173,22.40229988,22.93852077,6.85437398,7.31793354,-15.54792590,-15.62058723,0.07266133,False,True
lan_parasitic_gap,174,22.40229988,22.93852077,3.37954054,4.26136769,-19.02275934,-18.67715308,-0.34560626,False,False
lan_parasitic_gap,175,27.45991549,27.31630097,20.30400237,18.99114267,-7.15591312,-8.32515830,1.16924518,False,True
lan_parasitic_gap,176,27.45991549,27.31630097,6.85437398,7.31793354,-20.60554151,-19.99836743,-0.60717408,False,False
lan_parasitic_gap,177,27.45991549,27.31630097,3.37954054,4.26136769,-24.08037495,-23.05493328,-1.02544167,False,False
lan_parasitic_gap,178,27.45991549,27.56322544,20.30400237,21.54400598,-7.15591312,-6.01921946,-1.13669366,False,False
lan_parasitic_gap,179,27.45991549,27.56322544,6.85437398,7.40369599,-20.60554151,-20.15952945,-0.44601206,False,False
lan_parasitic_gap,180,27.45991549,27.56322544,3.37954054,4.05311899,-24.08037495,-23.51010645,-0.57026850,False,False
lan_parasitic_gap,181,21.46488569,23.11495949,1.98279390,2.78478663,-19.48209179,-20.33017286,0.84808107,False,True
lan_parasitic_gap,182,21.46488569,23.11495949,10.04081124,10.83106764,-11.42407445,-12.28389185,0.85981740,False,True
lan_parasitic_gap,183,21.46488569,23.11495949,19.05652417,19.87709593,-2.40836152,-3.23786356,0.82950204,False,True
lan_parasitic_gap,184,21.46488569,23.57490943,1.98279390,3.07633366,-19.48209179,-20.49857577,1.01648398,False,True
lan_parasitic_gap,185,21.46488569,23.57490943,10.04081124,10.20556845,-11.42407445,-13.36934098,1.94526653,False,True
lan_parasitic_gap,186,21.46488569,23.57490943,19.05652417,17.59637252,-2.40836152,-5.97853691,3.57017539,False,True
lan_parasitic_gap,187,22.83885074,24.14171690,19.05652417,19.87709593,-3.78232657,-4.26462097,0.48229440,False,True
lan_parasitic_gap,188,22.83885074,24.14171690,10.04081124,10.83106764,-12.79803950,-13.31064926,0.51260976,False,True
lan_parasitic_gap,189,22.83885074,24.14171690,1.98279390,2.78478663,-20.85605684,-21.35693027,0.50087343,False,True
lan_parasitic_gap,190,22.83885074,23.88681576,19.05652417,17.59637252,-3.78232657,-6.29044324,2.50811667,False,True
lan_parasitic_gap,191,22.83885074,23.88681576,10.04081124,10.20556845,-12.79803950,-13.68124731,0.88320781,False,True
lan_parasitic_gap,192,22.83885074,23.88681576,1.98279390,3.07633366,-20.85605684,-20.81048210,-0.04557474,False,False
lan_parasitic_gap,193,19.94597740,22.38657595,10.44339529,10.71924147,-9.50258211,-11.66733448,2.16475237,False,True
lan_parasitic_gap,194,19.94597740,22.38657595,18.50936765,16.81341326,-1.43660975,-5.57316269,4.13655294,False,True
lan_parasitic_gap,195,19.94597740,22.38657595,3.41078788,5.23789622,-16.53518952,-17.14867973,0.61349021,False,True
lan_parasitic_gap,196,19.94597740,21.88028953,10.44339529,11.18959756,-9.50258211,-10.69069197,1.18810986,False,True
lan_parasitic_gap,197,19.94597740,21.88028953,18.50936765,19.24718498,-1.43660975,-2.63310455,1.19649480,False,True
lan_parasitic_gap,198,19.94597740,21.88028953,3.41078788,4.75298190,-16.53518952,-17.12730763,0.59211811,False,True
lan_parasitic_gap,199,22.01780290,23.23091033,18.50936765,16.81341326,-3.50843525,-6.41749707,2.90906182,False,True
lan_parasitic_gap,200,22.01780290,23.23091033,3.41078788,5.23789622,-18.60701502,-17.99301411,-0.61400091,False,False
lan_parasitic_gap,201,22.01780290,23.23091033,10.44339529,10.71924147,-11.57440761,-12.51166886,0.93726125,False,True
lan_parasitic_gap,202,22.01780290,23.42923185,18.50936765,19.24718498,-3.50843525,-4.18204687,0.67361162,False,True
lan_parasitic_gap,203,22.01780290,23.42923185,3.41078788,4.75298190,-18.60701502,-18.67624995,0.06923493,False,True
lan_parasitic_gap,204,22.01780290,23.42923185,10.44339529,11.18959756,-11.57440761,-12.23963429,0.66522668,False,True
lan_parasitic_gap,205,19.73995767,21.42472828,10.50528114,10.35375199,-9.23467653,-11.07097629,1.83629976,False,True
lan_parasitic_gap,206,19.73995767,21.42472828,19.85964220,18.41079840,0.11968453,-3.01392988,3.13361441,True,True
lan_parasitic_gap,207,19.73995767,21.42472828,1.86129156,3.24219165,-17.87866611,-18.18253663,0.30387052,False,True
lan_parasitic_gap,208,19.73995767,20.80738897,10.50528114,10.76985554,-9.23467653,-10.03753343,0.80285690,False,True
lan_parasitic_gap,209,19.73995767,20.80738897,19.85964220,21.18662589,0.11968453,0.37923692,-0.25955239,True,False
lan_parasitic_gap,210,19.73995767,20.80738897,1.86129156,3.08362936,-17.87866611,-17.72375961,-0.15490650,False,False
lan_parasitic_gap,211,23.78810946,24.49248944,19.85964220,18.41079840,-3.92846726,-6.08169104,2.15322378,False,True
lan_parasitic_gap,212,23.78810946,24.49248944,1.86129156,3.24219165,-21.92681790,-21.25029779,-0.67652011,False,False
lan_parasitic_gap,213,23.78810946,24.49248944,10.50528114,10.35375199,-13.28282832,-14.13873745,0.85590913,False,True
lan_parasitic_gap,214,23.78810946,24.64569211,19.85964220,21.18662589,-3.92846726,-3.45906622,-0.46940104,False,False
lan_parasitic_gap,215,23.78810946,24.64569211,1.86129156,3.08362936,-21.92681790,-21.56206275,-0.36475515,False,False
